id,product,quantity,buy_price,exp_date,buy_date
1,Oven Mitts,88,8.57,2024-07-01,2022-06-26
2,Bagels Plain,19,5.66,2022-07-01,2022-06-17
3,Ginsing,16,4.7,2022-10-07,2022-06-30
4,Short Loin,42,7.73,2022-11-19,2022-06-14
5,Cornstarch,94,8.49,2022-11-03,2022-06-09
6,Puff Pastry,75,6.38,2022-10-06,2022-06-30
7,Anchovy Fillets,64,8.97,2022-10-07,2022-06-25
8,Wakami Seaweed,28,8.87,2022-11-22,2022-06-05
9,Muffin Mix,33,4.95,2022-11-13,2022-06-19
10,Pear,2,5.79,2022-09-16,2022-06-29
11,Trigger,75,1.58,2022-10-04,2022-06-19
12,Turkey,61,8.64,2022-10-24,2022-06-29
13,Vinegar,36,8.77,2022-11-23,2022-06-04
14,Pork Loin,33,1.18,2022-09-23,2022-06-16
15,Salt,57,2.72,2022-11-21,2022-06-24
16,Bread Rounds,68,1.2,2022-11-21,2022-06-09
17,Acorn,94,6.12,2022-10-05,2022-06-27
18,Basil Dry,56,7.8,2022-09-23,2022-06-16
19,Shrimp,91,1.44,2022-08-23,2022-06-25
20,Crawfish,99,1.01,2022-10-21,2022-06-16
21,Taro Root,100,8.45,2022-06-15,2022-06-23
22,Sour Bread,17,8.91,2022-08-28,2022-06-28
23,Cod,18,6.72,2022-09-16,2022-06-18
25,Cake Slab,67,6.16,2022-09-28,2022-06-01
26,Blueberries,87,8.73,2022-09-14,2022-06-11
27,Beef Shank,23,8.25,2022-09-18,2022-06-13
28,Steam Pan,78,4.13,2022-09-18,2022-06-15
29,Cookies Cereal,7,1.38,2022-07-27,2022-06-17
30,Daisies,38,8.61,2022-08-31,2022-06-01
31,Leaf Fern,98,4.26,2022-09-12,2022-06-27
32,Bagel Plain,70,8.95,2022-11-13,2022-06-27
33,Guiness,24,7.15,2022-11-08,2022-06-05
34,Canada Dry,90,5.83,2022-10-22,2022-06-29
35,Juice,1,6.58,2022-08-15,2022-06-10
36,Chevere Logs,59,7.14,2022-09-02,2022-06-08
37,Apricots,51,2.81,2022-10-08,2022-06-12
38,Fettuccine Dry,28,3.2,2022-09-29,2022-06-04
39,Spring Water,41,6.94,2022-09-29,2022-06-13
40,Couscous,56,9.22,2022-10-29,2022-06-02
41,Penne Primavera,67,4.22,2022-09-07,2022-06-28
42,Pernod,70,2.48,2022-11-05,2022-06-27
43,Shrimp 21/25,9,3.24,2022-07-03,2022-06-29
44,Longan,63,4.79,2022-08-17,2022-06-04
45,Grouper,72,4.65,2022-07-18,2022-06-28
46,Sproutsmustard Cress,15,6.66,2022-08-10,2022-06-03
47,Mushroom Chantrelle,71,2.63,2022-09-02,2022-06-13
